Title,Date,URL,Image,Series,Topic,Software
3D Modelling and Printing,TODO,https://scds.github.io/dmds-22-23/3dprinting.html,TODO,Do More with Digital Scholarship,TODO,TODO
Building Digital Exhibits: A Roundtable Celebrating the Launch of Omeka S at McMaster,TODO,https://scds.github.io/omeka-roundtable/,TODO,Do More with Digital Scholarship,TODO,TODO
Computational Approaches to Text Preparation and Analysis,TODO,https://scds.github.io/dmds-22-23/ComputationalText.html,TODO,Do More with Digital Scholarship,TODO,TODO
Data Visualization with Tableau,TODO,https://scds.github.io/intro-tableau/,TODO,Do More with Digital Scholarship,TODO,TODO
Data Wrangling with Open Refine,TODO,https://scds.github.io/data-wrangling/,TODO,Do More with Digital Scholarship,TODO,TODO
From Info-Glut to Connected Notes: Obsidian and Digital Note-Taking in Academia,TODO,https://scds.github.io/dmds-22-23/Obsidian.html,TODO,Do More with Digital Scholarship,TODO,TODO
"The Infinite Game: ChatGPT, Procedural Generation, and Large Language Models",TODO,https://scds.github.io/dmds-22-23/InfiniteGame.html,TODO,Do More with Digital Scholarship,TODO,TODO
Introduction to ArcGIS StoryMaps,TODO,https://scds.github.io/intro-storymaps/,TODO,Do More with Digital Scholarship,TODO,TODO
Introduction to Digital Exhibits with Omeka-S,TODO,https://scds.github.io/Omeka-S/,TODO,Do More with Digital Scholarship,TODO,TODO
Introduction to Digitization,TODO,https://echo360.ca/media/64eab494-dc95-4b06-8189-4162f5794cb7/public,TODO,Do More with Digital Scholarship,TODO,TODO
Introduction to Twine Games,TODO,https://scds.github.io/dmds-22-23/Twine.html,TODO,Do More with Digital Scholarship,TODO,TODO
Journal Publishing,TODO,https://echo360.ca/media/0c76b46e-74ba-430a-bba6-f35c559d33e1/public,TODO,Do More with Digital Scholarship,TODO,TODO
LaTeX for Human(ist)s,TODO,https://scds.github.io/latex-humanists/,TODO,Do More with Digital Scholarship,TODO,TODO
Named Entity Recognition,TODO,https://scds.github.io/text-analysis-2/,TODO,Do More with Digital Scholarship,TODO,TODO
Network Analysis with Gephi,TODO,https://scds.github.io/intro-gephi/,TODO,Do More with Digital Scholarship,TODO,TODO
Network Visualizations with Gephi,TODO,https://scds.github.io/dmds-22-23/NetworkViz.html,TODO,Do More with Digital Scholarship,TODO,TODO
"Open Everything! A Panel on the Whats, Hows, and Ifs of Open Scholarship",TODO,https://scds.github.io/dmds-22-23/OpenEverything.html,TODO,Do More with Digital Scholarship,TODO,TODO
Podcasts: A New Way to Mobilize Your Knowledge,TODO,https://scds.github.io/podcasting/,TODO,Do More with Digital Scholarship,TODO,TODO
Predatory Publishing: Reducing the Odds of Falling Prey,TODO,https://scds.github.io/Predatory-Publishing/,TODO,Do More with Digital Scholarship,TODO,TODO
Pre-Processing Digitized Texts,TODO,https://scds.github.io/text-analysis-1/,TODO,Do More with Digital Scholarship,TODO,TODO
Roundtable on Digital Scholarship,TODO,https://echo360.ca/media/4bf1930d-3bfa-4a75-bc70-88e70b696c9e/public,TODO,Do More with Digital Scholarship,TODO,TODO
Social Media Research Ethics 1 - Preliminary Considerations,TODO,https://scds.github.io/sm-research-ethics/module1.html,TODO,Do More with Digital Scholarship,TODO,TODO
Social Media Research Ethics 2 - Project Design,TODO,https://scds.github.io/sm-research-ethics/module2.html,TODO,Do More with Digital Scholarship,TODO,TODO
Social Media Research Ethics Roundtable - Power and Provocations,TODO,https://scds.github.io/sm-research-ethics/module3.html,TODO,Do More with Digital Scholarship,TODO,TODO
Teaching with Digital Tools and Approaches: A Sherman Centre Roundtable,TODO,https://scds.github.io/dmds-22-23/DigitalTools.html,TODO,Do More with Digital Scholarship,TODO,TODO
Textual Analysis with Voyant,TODO,https://scds.github.io/intro-voyant/,TODO,Do More with Digital Scholarship,TODO,TODO
Visualizing Texts with Voyant Tools,TODO,https://scds.github.io/dmds-22-23/Voyant.html,TODO,Do More with Digital Scholarship,TODO,TODO
What Is Digital Scholarship? Panel,TODO,https://scds.github.io/dmds-22-23/WhatIsDS.html,TODO,Do More with Digital Scholarship,TODO,TODO
Cleaning Messy Data with Python and Pandas,TODO,https://scds.github.io/dash-webinars/datacleaning.html,TODO,Data Analysis Support Hub,TODO,TODO
Creating High-Impact Figures with Adobe Illustrator,TODO,https://echo360.ca/media/5f179134-8790-4c69-89fb-10d89ef6b1f4/public,TODO,Data Analysis Support Hub,TODO,TODO
Data Visualization in R using ggplot2,TODO,https://scds.github.io/dash-webinars/ggplot2.html,TODO,Data Analysis Support Hub,TODO,TODO
Data Visualization with MATLAB,TODO,https://scds.github.io/dash-webinars/Matlab.html,TODO,Data Analysis Support Hub,TODO,TODO
Getting started with GitHub and GitHub Pages,TODO,https://scds.github.io/github-pages/,TODO,Data Analysis Support Hub,TODO,TODO
How to Copy ArcGIS Online Content Between Accounts,TODO,https://scds.github.io/dash-webinars/Copy_ArcGIS_Content.html,TODO,Data Analysis Support Hub,TODO,TODO
Hypothesis Testing and Regression Analysis in R,TODO,https://scds.github.io/hypothesis-testing-regression-analysis-r/,TODO,Data Analysis Support Hub,TODO,TODO
Intermediate Python Programming,TODO,https://scds.github.io/dash-webinars/IntermediatePython.html,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to ArcGIS Online,TODO,https://scds.github.io/intro-arcgis-online/,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to Business Analyst Online,TODO,https://scds.github.io/intro-to-bao/,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to Designing Effective Data Visualizations,TODO,https://scds.github.io/intro-data-viz/,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to GeoSpatial Data,TODO,https://scds.github.io/dash-webinars/Intro-Geospatial-Data.html,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to GIS,TODO,https://scds.github.io/intro-gis/,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to LaTeX,TODO,https://scds.github.io/intro-latex/,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to Machine Learning with Python,TODO,https://scds.github.io/dash-webinars/Machine-learning-python.html,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to Microsoft Excel,TODO,https://echo360.ca/media/db851cff-003e-49ce-a8a1-ac75bca524a1/public,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to Python Programming,TODO,https://scds.github.io/dash-webinars/IntroPython.html,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to R Programming,TODO,https://scds.github.io/dash-webinars/rprog.html,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to SAS,TODO,https://echo360.ca/media/0a95c3ba-c288-4412-9977-bfd5d9cf78c2/public,TODO,Data Analysis Support Hub,TODO,TODO
Introduction to SPSS,TODO,https://echo360.ca/media/cdb3d78a-0097-41d5-907b-1849254c879f/public,TODO,Data Analysis Support Hub,TODO,TODO
Machine Learning with R: K-Means Clustering,TODO,https://scds.github.io/dash-webinars/Kmeans.html,TODO,Data Analysis Support Hub,TODO,TODO
Machine Learning with R: Linear Regression,TODO,https://scds.github.io/dash-webinars/linearregression.html,TODO,Data Analysis Support Hub,TODO,TODO
Machine Learning with R: Logistic Regression,TODO,https://scds.github.io/dash-webinars/logisticregression.html,TODO,Data Analysis Support Hub,TODO,TODO
Machine Learning with R: Random Forest Classification Approach,TODO,https://scds.github.io/dash-webinars/Random-Forest.html,TODO,Data Analysis Support Hub,TODO,TODO
Machine Learning with R: SVM Classification,TODO,https://scds.github.io/dash-webinars/SVM.html,TODO,Data Analysis Support Hub,TODO,TODO
Making the Move from ArcMap to ArcPro,TODO,https://scds.github.io/dash-webinars/ArcGISPro.html,TODO,Data Analysis Support Hub,TODO,TODO
Version Control with Git,TODO,https://scds.github.io/dash-webinars/vcgit.html,TODO,Data Analysis Support Hub,TODO,TODO
Visual Data Analysis with Microsoft Excel,TODO,https://scds.github.io/dash-webinars/vda.html,TODO,Data Analysis Support Hub,TODO,TODO
Before You Dig: Finding and Reusing Datasets,TODO,https://scds.github.io/intro-rdm/reuse.html,TODO,Research Data Management,TODO,TODO
Best Practices for Managing Data in your Research,TODO,https://scds.github.io/intro-rdm/intro.html,TODO,Research Data Management,TODO,TODO
Building a Data Management Plan for your Research Project,TODO,https://scds.github.io/intro-rdm/dmp.html,TODO,Research Data Management,TODO,TODO
Data Privacy Best Practices,TODO,https://scds.github.io/intro-rdm/privacy.html,TODO,Research Data Management,TODO,TODO
Depositing and Sharing Data on McMaster Dataverse,TODO,https://scds.github.io/intro-rdm/dataverse.html,TODO,Research Data Management,TODO,TODO
Essentials of Open Data Sharing,TODO,https://scds.github.io/intro-rdm/sharing.html,TODO,Research Data Management,TODO,TODO
Organize Your Research Projects with the Open Science Framework,TODO,https://scds.github.io/intro-rdm/osf.html,TODO,Research Data Management,TODO,TODO
Qualitative Data: Practices for RDM Planning and Sharing,TODO,https://scds.github.io/intro-rdm/qualitative.html,TODO,Research Data Management,TODO,TODO
Securely Managing and Publishing Sensitive Data,TODO,https://scds.github.io/intro-rdm/sensitive.html,TODO,Research Data Management,TODO,TODO
"Set Yourself up for Research Success: Manage your Data like a Pro, and Get your own ORCiD Profile",TODO,https://scds.github.io/intro-rdm/researchsuccess,TODO,Research Data Management,TODO,TODO
Strategies for Research Data Storage and Backup,TODO,https://scds.github.io/intro-rdm/storage.html,TODO,Research Data Management,TODO,TODO
What are ORCiDs and DOIs - and Why Do I Need Them?,TODO,https://scds.github.io/intro-rdm/doi-orcid.html,TODO,Research Data Management,TODO,TODO
What You Need to Know about the New Tri-Agency Research Data Management Policy,TODO,https://scds.github.io/intro-rdm/triagency.html,TODO,Research Data Management,TODO,TODO
"Glitch: Disability, Feminism, Technology",TODO,https://scds.github.io/ds-bytes/Glitch.html,TODO,DS Bytes,TODO,TODO
How to Lie with Data,TODO,https://scds.github.io/ds-bytes/Howtoliewithdata.html,TODO,DS Bytes,TODO,TODO
The Value of Visuals in Science Communication,TODO,https://scds.github.io/ds-bytes/ScienceCommunication.html,TODO,DS Bytes,TODO,TODO
Urban Heat Islands and Social Inequalities: A Data-Driven Story,TODO,https://scds.github.io/ds-bytes/UrbanHeatIslands.html,TODO,DS Bytes,TODO,TODO
EQ vs IQ: Testing Gendered AI in Apple's Siri,TODO,https://scds.github.io/ds-bytes/EQIQ.html,TODO,DS Bytes,TODO,TODO
Design Principles for Data Visualization,TODO,https://scds.github.io/data-visualization-principles/,TODO,Relevant Research,TODO,TODO
Feminist Data Workshop,TODO,https://scds.github.io/building-feminist-data/,TODO,Relevant Research,TODO,TODO
Research Beyond Academia,TODO,https://scds.github.io/research-beyond-academia/,TODO,Relevant Research,TODO,TODO
Telling Data-Driven Stories: Lessons from data journalism,TODO,https://scds.github.io/data-driven-stories/,TODO,Relevant Research,TODO,TODO
Transcending Mental Models,TODO,https://scds.github.io/transcending-mental-models/,TODO,Relevant Research,TODO,TODO
Digital Networking and You,TODO,https://echo360.ca/media/2c508787-bddb-4678-9c63-505adc933a5a/public,TODO,Software Freedom Series,TODO,TODO
Maintaining Your Digital Privacy,TODO,https://echo360.ca/media/9f2bc6af-a3ac-45e9-b50d-af2964108162/public,TODO,Software Freedom Series,TODO,TODO
Getting Started with Text Preparation and Analysis,TODO,https://jasonbrodeur.github.io/dsi-text-prep/,TODO,ARL Digital Scholarship Institute,TODO,TODO
A Guide to Data and Statistical Sources from Statistics Canada,TODO,https://libguides.mcmaster.ca/c.php?g=703562&p=5002203,TODO,LibGuides,TODO,TODO
Business Data and Statistics,TODO,https://libguides.mcmaster.ca/c.php?g=704161,TODO,LibGuides,TODO,TODO
Data Visualization,TODO,https://libguides.mcmaster.ca/dataviz,TODO,LibGuides,TODO,TODO
GIS and GeoSpatial Data,TODO,https://libguides.mcmaster.ca/GIS,TODO,LibGuides,TODO,TODO
Science Communication and Digital Scholarship: A SCDS Graduate Resident Panel,TODO,https://scds.github.io/2022-grevents/ScienceCommunication.html,TODO,Special Events,TODO,TODO
Exploring Barriers to Misinformation Interventions in Public Libraries: A Special Guest Lecture by Abeer Siddiqui,TODO,https://scds.github.io/2022-grevents/siddiqui.html,TODO,Special Events,TODO,TODO
"Content Creators, Digital Labour, and Online Identities: A SCDS Graduate Resident Panel",TODO,https://scds.github.io/2022-grevents/DigitalActivism.html,TODO,Special Events,TODO,TODO
Looking Back to Go Forward: Histories of Oppositional Feminist Politics and the Internet: A Special Guest Lecture by Dr. Jessalynn Keller,TODO,https://scds.github.io/2022-grevents/DigitalActivism.html,TODO,Special Events,TODO,TODO
Digital Tools in the Humanities and Social Sciences: A Research Roundtable,TODO,https://scds.github.io/dh-roundtable/,TODO,Special Events,TODO,TODO
